Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado
1.000.000 ARS,217.000 ARS,CHARCAS,4700,N/A,https://www.remax.com.ar/listings/alquiler-2-amb-piso-alto-todo-luz-y-sol-impecable,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.59,61.48,N/A,N/A,217.000,N/A,N/A,N/A,N/A,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4.500.000 ARS,N/A,RIVADAVIA,11600,N/A,https://www.remax.com.ar/listings/alquila-local-comercial-275m2-liniers,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,275,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
800.000 ARS,169.000 ARS,YATAY,100,N/A,https://www.remax.com.ar/listings/alquiler-2-amb-balcon-torre-vista-abierta-almagro,2,1,1,N/A,N/A,N/A,contrafrente,norte,N/A,N/A,N/A,N/A,N/A,46,57,N/A,N/A,169.000,N/A,N/A,N/A,N/A,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1.300.000 ARS,225.000 ARS,ZAPIOLA,1900,N/A,https://www.remax.com.ar/listings/depto-3-amb-c-bcon-al-fte-en-alquiler-en-belgrano,3,2,1,N/A,N/A,N/A,N/A,noroeste,N/A,N/A,N/A,N/A,N/A,69,75,N/A,N/A,225.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
25.000 USD,N/A,AUTOPISTA DR. RICARDO BALBIN,3600,N/A,https://www.remax.com.ar/listings/alquiler-clinica-medica-equipada-habilitada,12,8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,602,619,17,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
N/A,N/A,N/A,N/A,N/A,https://www.remax.com.ar/listings/alquiler-2-ambientes-en-v-urquiza-interno,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400.000 ARS,156.400 ARS,BRASIL,0,N/A,https://www.remax.com.ar/listings/alquiler-monoambiente-san-telmo-vista-abierta,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,22.39,22.39,N/A,N/A,156.400,N/A,N/A,N/A,N/A,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.700 USD,650.000 ARS,AMENABAR,1500,N/A,https://www.remax.com.ar/listings/alquiler-depto-duplex-belgrano-torre-piso-alto,3,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,181,N/A,N/A,650.000,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0
700 USD,260.000 ARS,BLANCO ENCALADA,4800,N/A,https://www.remax.com.ar/listings/alquiler-de-dto-2-amb-apto-prof-c-pileta-y-gym-1,2,1,1,1,N/A,N/A,N/A,suroeste,N/A,sí,N/A,N/A,N/A,43,48,5,N/A,260.000,N/A,N/A,N/A,N/A,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0
700.000 ARS,92.000 USD,VIDAL,2300,N/A,https://www.remax.com.ar/listings/alquiler-monoambiente-en-belgrano,1,1,1,N/A,N/A,N/A,lateral,N/A,N/A,N/A,N/A,N/A,N/A,30.61,31.67,1.06,N/A,92.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
