Precio_m2_USD,Rentabilidad_bruta_anual,Rentabilidad_neta_anual,Payback_anios,Yield_gap_vs_bonos,Tipologia,Zona_riesgo,Comuna,Barrio,Indice_amenities,Sup_Cubierta_m2,Distancia_subte_km,Distancia_parque_km,Liquidez_oferta_comuna,Tasa_delitos_comuna,Volatilidad_Precio_m2_comuna,confianza_renta,A_estrenar,Cluster,PC1,PC2,PC3,PC4
2348.4848484848485,0.0610626944253152,0.0249741365565389,16.37661111111111,-0.0389373055746847,4+A,alto,1.0,Monserrat,2,132.0,0.4478432775140702,1.239222845710657,0.0018408245339653,1.3599759089981835,0.497858621461092,alta,0,1,-0.4920833540353879,-1.4851083994013587,1.3961310098731663,1.069637035865019
1437.5,0.0740857795357768,0.036911964574462,13.497867016666667,-0.0259142204642232,4+A,alto,1.0,Constitucion,0,80.0,0.5195628478773932,0.6214455407546444,0.0018408245339653,1.3599759089981835,0.497858621461092,media,0,1,-1.7516050401098655,-1.744810818600828,0.7603350555574375,0.6657452835737395
1647.0588235294117,0.0730578393447179,0.0359696860659914,13.687785034013604,-0.0269421606552821,2A,alto,1.0,San Telmo,0,51.0,0.8124837200145751,0.1746035413484275,0.0018408245339653,1.3599759089981835,0.497858621461092,alta,0,1,-1.5924874999798055,-1.7364034304316256,0.3610658437851148,0.2302765757857575
3260.8695652173915,0.0567990976440955,0.0210658395070875,17.605913500000003,-0.0432009023559044,monoamb,alto,1.0,Constitucion,1,23.0,0.7087357184424764,0.8062866135812997,0.0018408245339653,1.3599759089981835,0.497858621461092,alta,0,1,-0.0867498077393666,-1.3514011154279986,0.770192518258227,-0.6146251586491589
1571.428571428571,0.0851986464661433,0.0470987592606313,11.737275666666669,-0.0148013535338566,2A,alto,3.0,Balvanera,0,35.0,0.5139198145402537,1.924350640098368,0.0010344625327268,0.9331491918927998,0.3306390495886265,alta,0,1,-1.978690606196188,0.0342936727433901,0.1595515386896968,-0.2862011987244834
1758.928571428571,0.0756840768100258,0.0383770704091903,13.212818893333331,-0.0243159231899742,3A,alto,3.0,Balvanera,1,56.0,0.3503643283177309,2.3118759155306043,0.0010344625327268,0.9331491918927998,0.3306390495886265,media,0,1,-1.5242005079517484,0.1116422213499545,0.5454401308083695,-0.1484196673413456
3227.2727272727275,0.0779987608492861,0.0404988641118456,12.820716497435898,-0.0220012391507138,monoamb,bajo,14.0,Palermo,0,22.0,0.7172366462205676,0.8252642323741897,0.0020354411558041,0.3173293561387364,0.7185047022536231,alta,0,2,0.6990965866114423,-0.8698017151206764,-0.5266156322572255,-0.4303322594413962
4260.0,0.0339994598573811,0.0001661715359327,29.41223196470588,-0.0660005401426188,2A,bajo,13.0,Nuñez,4,50.0,2.696052544632228,3.6087025115810434,0.001811257462251,0.3242107629327673,0.3362126271488234,alta,0,2,2.5085109397654968,2.1039035675624547,-0.5531526240248735,-0.4987966213834174
2030.478955007257,0.0548097082341165,0.0192422325479401,18.244942952962965,-0.0451902917658835,3A,bajo,7.0,Flores,1,68.9,2.52203160372723,1.0159504295172683,0.0007389240721516,0.4306612690454279,0.2791624172439522,alta,0,0,-0.8261643641116906,1.6905173762324373,-1.7162242460171042,0.5725652860932625
2900.0,0.053861213283194,0.0183727788429278,18.566236054545456,-0.0461387867168059,monoamb,bajo,15.0,Chacarita,3,30.0,0.4130911275972433,0.6972908289658837,0.0016924644253836,0.3560200247570848,0.3145034612612011,alta,0,2,1.11626087417281,-1.0422859104219582,-0.6630374420221441,-0.6594012185227128
1977.7777777777776,0.0789762734096272,0.0413949172921582,12.662030719191918,-0.0210237265903727,3A,alto,6.0,Caballito,0,45.0,1.0152667090928005,0.8427863782791436,0.0014709557236647,0.6815238874122538,0.2822013725531903,media,0,1,-0.9964801144283176,-0.5143485903341339,-0.7564634971588635,0.1427719639127032
745.645390070922,0.2400628426907082,0.1890576057998159,4.165575933333333,0.1400628426907082,monoamb,bajo,13.0,Belgrano,2,35.25,0.8864764884561315,1.9131601081483527,0.001811257462251,0.3242107629327673,0.3362126271488234,alta,0,1,-2.076957561704276,-0.9487318984287378,-1.414657985387991,-0.9688046452487116
2398.3050847457625,0.046964624907132,0.012050906164871,21.29262188247863,-0.0530353750928679,3A,medio,4.0,Barracas,0,59.0,1.2462677124611643,1.184118443766104,0.0003390684780865,0.6643909367912209,0.3621231466264265,media,0,0,-1.2967714229467693,1.3334798754020327,-0.6059474207434189,0.2694175292121652
3586.206896551724,0.0491530652689288,0.0140569764965181,20.344611155555555,-0.0508469347310711,monoamb,medio,12.0,Villa Urquiza,0,29.0,1.5441101079502544,2.789177405737424,0.0016590377581003,0.4997101681025006,0.2333980703538691,alta,0,0,0.6517682859504254,0.9599121954561252,-0.4370788881819324,-0.2091144489406766
2500.0,0.0436217069906653,0.0089865647414432,22.924366536458333,-0.0563782930093346,2A,medio,4.0,Barracas,2,50.0,1.3705474020923714,1.17422124878718,0.0003390684780865,0.6643909367912209,0.3621231466264265,alta,0,0,-0.710022339278391,1.3552900177729352,-0.6242686175286376,-0.230476218938247
1414.141414141414,0.0608561760472452,0.0247848280433081,16.432185933333333,-0.0391438239527547,4+A,alto,1.0,San Nicolas,0,99.0,0.1133929002609964,3.0360316315918983,0.0018408245339653,1.3599759089981835,0.497858621461092,media,0,1,-1.742619969692081,-0.736931846059022,1.9591554558633284,0.7903939489525822
1500.0,0.07361447050163,0.0364799312931608,13.584285714285716,-0.0263855294983699,4+A,alto,5.0,Almagro,0,160.0,1.358346366618112,1.3769008488267676,0.0013072260551381,0.7262366972989581,0.8153691824811038,media,0,1,-1.4568056785184809,0.367620836629161,0.2975436811061127,1.969199942236204
1500.0,0.1115696560866162,0.0712721847460649,8.963010509090909,0.0115696560866162,2A,alto,3.0,Balvanera,0,28.0,0.4787195816532865,1.9517723225899064,0.0010344625327268,0.9331491918927998,0.3306390495886265,alta,0,1,-2.2418414104013,-0.0735998864696366,0.0526328363798755,-0.5187951712181181
1907.2164948453608,0.0640417501490913,0.027704937636667,15.614813737475428,-0.0359582498509087,3A,bajo,15.0,Chacarita,1,97.0,0.4856887616583777,0.266156913202988,0.0016924644253836,0.3560200247570848,0.3145034612612011,media,0,1,-0.1243953173844232,-1.2643341353801385,-0.7990479131714722,0.9639254056028352
2523.809523809524,0.0858754130729781,0.0477191286502299,11.644776592226528,-0.0141245869270218,3A,bajo,14.0,Palermo,1,42.0,0.5232635215226535,0.8119238870077341,0.0020354411558041,0.3173293561387364,0.7185047022536231,media,0,2,0.3861247528240284,-1.1402158339457076,-0.4138374739419541,-0.2510761857963909
1285.7142857142858,0.0899319046031512,0.0514375792195553,11.119524315789477,-0.0100680953968487,3A,alto,1.0,San Nicolas,1,70.0,0.6276120242120168,1.6600464575816878,0.0018408245339653,1.3599759089981835,0.497858621461092,alta,0,1,-1.7853228336069331,-1.228990051068749,0.9937518744599604,0.1878343507771469
3102.5641025641025,0.0528090783881053,0.0174083218557632,18.936138075555554,-0.0471909216118946,2A,medio,12.0,Villa Urquiza,4,39.0,0.8806099401052672,2.002394944185799,0.0016590377581003,0.4997101681025006,0.2333980703538691,alta,0,2,1.2974231822949591,-0.1442466024410629,-0.2576956284322946,-0.7558111540787019
2975.0,0.0515487608870783,0.0162530308131551,19.39910839351852,-0.0484512391129216,monoamb,alto,1.0,San Nicolas,2,40.0,0.1222402920081014,2.836246318350076,0.0018408245339653,1.3599759089981835,0.497858621461092,alta,0,1,-0.0695929277624436,-0.7599840927518479,1.89851169782003,-0.7033520178264264
1187.5,0.1129124209197934,0.0725030525098106,8.85642156862745,0.0129124209197934,4+A,medio,12.0,Villa Pueyrredon,0,160.0,2.809186112698147,4.24943665780427,0.0016590377581003,0.4997101681025006,0.2333980703538691,media,0,0,-1.5838145045754783,2.177988290457131,-0.5687979386310554,2.0657974076637204
2368.4210526315787,0.0870313640167927,0.0487787503487267,11.490110620431606,-0.0129686359832072,4+A,bajo,14.0,Palermo,0,76.0,0.5693389753434343,1.6477587433229384,0.0020354411558041,0.3173293561387364,0.7185047022536231,media,0,1,0.0042983494649536,-0.6602325444377164,-0.0657051818963292,0.458771594315059
2360.0,0.0938629155982934,0.0550410059651023,10.653834835897436,-0.0061370844017065,monoamb,bajo,14.0,Palermo,0,25.0,0.7172366462205676,0.8252642323741897,0.0020354411558041,0.3173293561387364,0.7185047022536231,alta,0,2,-0.0525026916492224,-0.9815195208309876,-0.6502607188617833,-0.3467977258550532
3100.0,0.0505343403968474,0.0153231453637768,19.78852384629888,-0.0494656596031525,4+A,bajo,14.0,Palermo,1,100.0,1.298138305702489,0.6587604024510718,0.0020354411558041,0.3173293561387364,0.7185047022536231,media,0,2,1.1111757591688898,-0.5341652340026573,-0.4856594717983151,0.93758898943588
5625.0,0.0392610509342026,0.0049892966896858,25.47053571428572,-0.0607389490657973,3A,bajo,14.0,Palermo,1,120.0,1.1527477956846688,0.988348646739565,0.0020354411558041,0.3173293561387364,0.7185047022536231,media,0,2,3.029378228552323,-0.2845734549735086,0.0351671050948915,0.9826412503841184
2013.6986301369864,0.0695499154825659,0.0327540891923521,14.378162691666668,-0.030450084517434,3A,alto,2.0,Recoleta,0,73.0,0.4444969675796278,2.478211956776305,0.0014373274573867,1.0447534381885877,0.3343869191202226,media,0,1,-1.3445411864279146,-0.1971885345811347,0.8348098184579213,0.3663429002014941
2809.5238095238096,0.0851986464661433,0.0470987592606313,11.737275666666664,-0.0148013535338566,monoamb,alto,6.0,Caballito,1,21.0,1.5269388597660856,1.0890377139736984,0.0014709557236647,0.6815238874122538,0.2822013725531903,alta,0,1,-0.2224825092585181,-0.0219932033421995,-0.9528447799423656,-0.5251688366144281
