Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio,calle_norm,Altura_num,Comuna,Barrio,lat,lon,altura_ok,geo_score,geo_method,geo_ok,Distancia_subte_km,Distancia_parque_km,Tasa_delitos_comuna,Zona_riesgo,Tipologia,A_estrenar,Indice_amenities,Precio_ajustado_USD,Precio_m2_USD,Precio_m2_ajustado_USD,Renta_m2_USD,Precio_m2_mediano_comuna,Volatilidad_Precio_m2_comuna,banda_sup,Renta_estimada_mensual_USD,Match_count,confianza_renta,Rentabilidad_bruta_anual,Rentabilidad_neta_anual,Payback_anios,Yield_gap_vs_bonos,Liquidez_oferta_comuna
USD 109.000,240000.0,AV. SAN JUAN AL 1400 PB,1400.0,https://www.argenprop.com/departamento-en-venta-en-san-cristobal-3-ambientes--18978044,3.0,2.0,1,40.0,Frente,No informado,0,Sí,Piso,78.0,104.0,26.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(103.0, 992.0]",USD,109000.0,109000.0,161450800.0,1481.2,2026-05-13T14:00:00.000Z,0.0014865209710945,AVENIDA SAN JUAN AL 1400 PB,1400.0,1.0,Constitucion,-34.62235074659262,-58.385114053841896,True,,recovery,True,0.4603270556699414,1.0893710479006085,1.3599759089981835,alto,3A,0,1,103648.09999999999,1397.4358974358975,1328.8217948717947,12.463906603793182,1861.868109007697,0.49785862146109205,75-100,972.1847150958682,30.0,alta,0.11255601001031779,0.07217634250945797,8.884465608796296,0.01255601001031778,0.0018408245339653984
USD 49.900,121000.0,YERBAL al 3300 2°,3300.0,https://www.argenprop.com/departamento-en-venta-en-flores-1-ambiente--19162135,1.0,0.0,1,60.0,Contrafrente,No informado,0,Sí,Piso,31.0,31.0,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,argenprop,False,"(-0.001, 39.0]",USD,49900.0,49900.0,73911880.0,1481.2,2026-05-13T14:00:00.000Z,0.0016370845931668,YERBAL AL 3300 2°,3300.0,,,,,False,,sin_match,False,,,,,monoamb,0,0,47449.909999999996,1609.6774193548388,1530.642258064516,,,,<35,,,baja,,,,,
USD 104.000,130000.0,AV. BOYACA al 100 7°,100.0,https://www.argenprop.com/departamento-en-venta-en-flores-2-ambientes--19111666,2.0,1.0,1,11.0,Contrafrente,No informado,1,Sí,Semipiso,40.0,44.0,4.0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(39.0, 53.0]",USD,104000.0,104000.0,154044800.0,1481.2,2026-05-13T14:00:00.000Z,0.0008439103429651,AVENIDA BOYACA AL 100 7°,100.0,7.0,Flores,-34.6261391942463,-58.45707310229455,True,,recovery,True,2.0310799408224964,1.0266213163134164,0.43066126904542795,bajo,2A,0,1,98893.59999999999,2600.0,2472.3399999999997,11.983526870105319,1926.6666666666667,0.2791624172439522,35-55,479.3410748042128,52.0,alta,0.058164460568232455,0.022317422187546416,17.192629145539907,-0.04183553943176755,0.000738924072151629
USD 159.000,215000.0,FJSM de ORO,2500.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--19240120,2.0,1.0,1,25.0,Contrafrente,No informado,1,Sí,Departamento,41.02,49.0,7.979999999999997,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(39.0, 53.0]",USD,159000.0,159000.0,235510800.0,1481.2,2026-05-13T14:00:00.000Z,0.0009129093018239,FJSM DE ORO,2500.0,,,,,False,,sin_match,False,,,,,2A,0,1,151193.1,3876.157971721111,3685.838615309605,,,,35-55,,,baja,,,,,
USD 240.000,287000.0,Lugones al,3600.0,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--19229184,3.0,2.0,1,40.0,Frente,No informado,0,0,Semipiso,72.0,78.0,6.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(72.0, 103.0]",USD,240000.0,240000.0,355488000.0,1481.2,2026-05-13T14:00:00.000Z,0.00080734089477,LUGONES,3600.0,12.0,Saavedra,-34.56061180246796,-58.488601132608515,True,100.0,exacto,True,1.8412148620739792,2.8973629894200146,0.4997101681025006,medio,3A,0,0,228216.0,3333.3333333333335,3169.6666666666665,11.252137906202178,2950.0,0.23339807035386917,55-75,810.1539292465568,23.0,alta,0.04259932323307166,0.008049379630315687,23.474551333333334,-0.057400676766928345,0.0016590377581003019
USD 189.000,132005.0,Muñiz,400.0,https://www.argenprop.com/departamento-en-venta-en-almagro-3-ambientes--18230894,3.0,2.0,3,60.0,Frente,No informado,0,Sí,Piso,77.0,101.0,24.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,1,0,1,1,argenprop,False,"(72.0, 103.0]",USD,189000.0,189000.0,279946800.0,1481.2,2026-05-13T14:00:00.000Z,0.0004715360204153,MUNIZ,400.0,5.0,Almagro,-34.61764219119185,-58.427338074811665,True,100.0,exacto,True,1.0859339822413143,1.238170492248105,0.7262366972989581,alto,3A,0,1,179720.1,2454.5454545454545,2334.0272727272727,13.151849500755793,2285.358181494451,0.8153691824811038,75-100,1012.692411558196,5.0,media,0.06761797338582802,0.030983142270342358,14.788967340000001,-0.032382026614171985,0.0013072260551381246
USD 135.000,150000.0,Crisólogo Larralde,4100.0,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18764541,2.0,1.0,1,10.0,Contrafrente,No informado,0,0,Duplex,53.0,64.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,argenprop,False,"(53.0, 72.0]",USD,135000.0,135000.0,199962000.0,1481.2,2026-05-13T14:00:00.000Z,0.0007501425270801,CRISOLOGO LARRALDE,4100.0,13.0,Nuñez,-34.54656499768513,-58.463536257894276,False,100.0,exacto_altura_fuera,True,2.4339957348434043,3.384484265981683,0.32421076293276735,bajo,2A,0,0,128371.5,2547.169811320755,2422.103773584906,10.827528928609643,3050.0,0.33621262714882344,35-55,573.8590332163111,115.0,alta,0.053643592219423566,0.018173292867804936,18.641555470588237,-0.04635640778057644,0.0018112574622510603
USD 72.000,80000.0,ALSINA ADOLFO,1900.0,https://www.argenprop.com/departamento-en-venta-en-congreso-2-ambientes--17928156,2.0,1.0,1,40.0,Frente,No informado,1,Sí,Piso,32.0,32.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(-0.001, 39.0]",USD,72000.0,72000.0,106646400.0,1481.2,2026-05-13T14:00:00.000Z,0.0007501425270801,ALSINA ADOLFO,1900.0,3.0,Balvanera,-34.61155477297557,-58.39255212673682,True,100.0,exacto,True,0.09776338747731945,2.305359981508841,0.9331491918927998,alto,2A,0,0,68464.8,2250.0,2139.525,11.603767215770997,1782.4310520939734,0.3306390495886265,<35,371.3205509046719,23.0,alta,0.06508229938385948,0.028658774435204523,15.365160872727275,-0.03491770061614052,0.0010344625327268753
USD 132.000,145000.0,Virrey Cevallos,300.0,https://www.argenprop.com/departamento-en-venta-en-congreso-2-ambientes--16661787,2.0,1.0,1,0.0,Frente,Este,0,0,Departamento,42.0,49.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(39.0, 53.0]",USD,132000.0,132000.0,195518400.0,1481.2,2026-05-13T14:00:00.000Z,0.0007416181801815,VIRREY CEVALLOS,300.0,1.0,Monserrat,-34.611876017472724,-58.3889325392537,True,100.0,exacto,True,0.3569209721941325,2.0442453635762963,1.3599759089981835,alto,2A,1,1,125518.8,3142.8571428571427,2988.5428571428574,11.578449905482042,1861.868109007697,0.49785862146109205,35-55,486.29489603024575,98.0,alta,0.04649135231027502,0.01161707295108544,21.50937648202138,-0.053508647689724985,0.0018408245339653984
USD 149.000,170000.0,Paroissien,2500.0,https://www.argenprop.com/departamento-en-venta-en-nunez-2-ambientes--18314283,2.0,1.0,2,40.0,No informado,No informado,0,0,Departamento,50.0,54.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0.0,0,0,1,0,1,0,argenprop,False,"(53.0, 72.0]",USD,149000.0,149000.0,220698800.0,1481.2,2026-05-13T14:00:00.000Z,0.0007702805814984,PAROISSIEN,2500.0,12.0,Saavedra,-34.547058060843455,-58.47037338140951,True,100.0,exacto,True,2.3474482074374206,3.3801558528596356,0.4997101681025006,medio,2A,0,6,141684.1,2980.0,2833.6820000000002,10.12692411558196,2950.0,0.23339807035386917,35-55,506.346205779098,102.0,alta,0.04288522473128019,0.008311456003673506,23.318054324444446,-0.05711477526871982,0.0016590377581003019
USD 124.000,54247.0,Lascano,2800.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-3-ambientes--19426875,3.0,2.0,1,40.0,Frente,No informado,0,Sí,Departamento,58.81,58.81,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(53.0, 72.0]",USD,124000.0,124000.0,183668800.0,1481.2,2026-05-13T14:00:00.000Z,0.0002953522862892,LASCANO,2800.0,11.0,Villa Del Parque,-34.60592050893936,-58.48333952585956,True,100.0,exacto,True,0.8840380320101365,2.315075765612071,0.579459732816385,medio,3A,0,0,117911.59999999999,2108.4849515388537,2004.958340418296,11.479821023161549,2493.75,2.6590877098732375,55-75,675.1282743721307,20.0,alta,0.068708585859793,0.03198287037147692,14.554221826666666,-0.031291414140207,0.0010693665978338742
USD 90.000,120000.0,AMENABAR,3800.0,https://www.argenprop.com/departamento-en-venta-en-nunez-1-ambiente--18956610,1.0,0.0,1,13.0,Contrafrente,Oeste,0,0,Departamento,30.0,33.0,3.0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(-0.001, 39.0]",USD,90000.0,90000.0,133308000.0,1481.2,2026-05-13T14:00:00.000Z,0.0009001710324961,AMENABAR,3800.0,12.0,Saavedra,-34.548125302418555,-58.4713846485499,True,100.0,exacto,True,2.238975506720836,3.2811558037307615,0.4997101681025006,medio,monoamb,0,0,85581.0,3000.0,2852.7,13.502565487442613,2950.0,0.23339807035386917,<35,405.0769646232784,53.0,alta,0.05679909764409555,0.021065839507087583,17.6059135,-0.04320090235590446,0.0016590377581003019
USD 87.000,135000.0,Ruiz Huidobro,2300.0,https://www.argenprop.com/departamento-en-venta-en-nunez-2-ambientes--19350723,2.0,1.0,1,53.0,Lateral,Noreste,1,Sí,Loft,34.0,39.0,5.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,argenprop,False,"(-0.001, 39.0]",USD,87000.0,87000.0,128864400.0,1481.2,2026-05-13T14:00:00.000Z,0.0010476128395429,RUIZ HUIDOBRO,2300.0,13.0,Nuñez,-34.543740051155105,-58.46983441470617,True,100.0,exacto,True,2.712345030552899,3.736729272916478,0.32421076293276735,bajo,2A,0,0,82728.3,2558.823529411765,2433.185294117647,12.906864068878969,3050.0,0.33621262714882344,<35,438.83337834188495,19.0,media,0.0636541611528657,0.027349647723460224,15.709892046153847,-0.03634583884713431,0.0018112574622510603
USD 320.000,400000.0,Avenida Del Libertador,7500.0,https://www.argenprop.com/departamento-en-venta-en-nunez-3-ambientes--16463824,3.0,2.0,1,20.0,Contrafrente,Noroeste,0,Sí,Departamento,65.0,133.0,63.0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.0,0,0,1,0,0,0,argenprop,False,"(103.0, 992.0]",USD,320000.0,320000.0,473984000.0,1481.2,2026-05-13T14:00:00.000Z,0.0008439103429651,AVENIDA DEL LIBERTADOR,7500.0,13.0,Nuñez,-34.54506125155725,-58.459360783895214,True,100.0,exacto,True,2.6894086369604215,3.576744930246779,0.32421076293276735,bajo,3A,0,4,304288.0,4923.076923076923,4681.3538461538465,14.541224371092046,3050.0,0.33621262714882344,55-75,945.179584120983,50.0,alta,0.0372744078289377,0.003168207176526226,26.828058666666667,-0.0627255921710623,0.0018112574622510603
USD 220.000,555000.0,Teodoro Vilardebó,2600.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-3-ambientes--18928021,3.0,2.0,2,40.0,Frente,Este,0,0,Piso,71.8,149.0,75.3,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1.0,0,1,1,0,1,0,argenprop,False,"(103.0, 992.0]",USD,220000.0,220000.0,325864000.0,1481.2,2026-05-13T14:00:00.000Z,0.0017031645103478,TEODORO VILARDEBO,2600.0,11.0,Villa Del Parque,-34.60693779915771,-58.49529485884116,True,100.0,exacto,True,0.49991073759980786,3.214177029610852,0.579459732816385,medio,3A,0,2,209198.0,3064.066852367688,2913.6211699164346,9.402900757272016,2493.75,2.6590877098732375,55-75,675.1282743721307,20.0,alta,0.0387266574846106,0.004499436027559716,25.822006466666668,-0.061273342515389406,0.0010693665978338742
USD 459.999,400000.0,AVENIDA CORRIENTES,3800.0,https://www.argenprop.com/departamento-en-venta-en-almagro-4-ambientes--12078589,4.0,3.0,1,40.0,Contrafrente,Norte,0,0,Departamento,125.0,125.0,0.0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(103.0, 992.0]",USD,459999.0,459999.0,681350518.8000001,1481.2,2026-05-13T14:00:00.000Z,0.0005870693409091,AVENIDA CORRIENTES,3800.0,15.0,Chacarita,-34.58721100816781,-58.45450787722719,True,100.0,exacto,True,0.48568876165837777,0.266156913202988,0.3560200247570848,bajo,4+A,0,4,437413.0491,3679.992,3499.3043928,12.017283283823927,2405.4982817869413,0.31450346126120116,>100,1502.1604104779908,8.0,media,0.04121030445439423,0.006776112416528041,24.26577559276854,-0.05878969554560578,0.00169246442538368
USD 89.000,217500.0,Avenida Hipólito Yrigoyen,1500.0,https://www.argenprop.com/departamento-en-venta-en-congreso-3-ambientes--19360647,3.0,2.0,1,16.0,No informado,No informado,1,Sí,Duplex,66.69,67.0,0.3100000000000023,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(53.0, 72.0]",USD,89000.0,89000.0,131826800.0,1481.2,2026-05-13T14:00:00.000Z,0.0016498921311903,AVENIDA HIPOLITO YRIGOYEN,1500.0,1.0,Monserrat,-34.60881275255457,-58.370214484668665,False,100.0,exacto_altura_fuera,True,0.21959794762007082,0.94408721391409,1.3599759089981835,alto,3A,0,1,84630.09999999999,1334.5329134802819,1269.0073474284,9.617211885642886,1861.868109007697,0.49785862146109205,55-75,641.3718606535241,33.0,alta,0.09094237544138895,0.05236384415460652,10.995974045614034,-0.00905762455861106,0.0018408245339653984
USD 57.000,120000.0,Boulogne sur mer al,300.0,https://www.argenprop.com/departamento-en-venta-en-balvanera-2-ambientes--17768278,2.0,1.0,1,40.0,Lateral,No informado,0,Sí,Piso,33.0,33.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(-0.001, 39.0]",USD,57000.0,57000.0,84428400.0,1481.2,2026-05-13T14:00:00.000Z,0.0014213226828886,BOULOGNE SUR MER,300.0,3.0,Balvanera,-34.60723610988131,-58.40750960782266,True,100.0,exacto,True,0.28668380349707273,2.3057477083054416,0.9331491918927998,alto,2A,0,1,54201.299999999996,1727.2727272727273,1642.4636363636362,11.25213790620218,1782.4310520939734,0.3306390495886265,<35,371.3205509046719,23.0,alta,0.08220922027434882,0.04435845191815309,12.16408569090909,-0.017790779725651185,0.0010344625327268753
