Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado
57.000 USD,40.000 ARS,SAN LUIS,800,N/A,https://www.remax.com.ar/listings/venta-departamento-monoambiente-san-telmo-2,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,30,N/A,N/A,40.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
140.000 USD,N/A,Francisco Acuña de Figueroa,800,N/A,https://www.remax.com.ar/listings/venta-ph-3-amb-reciclado-a-nuevo-en-almagro,3,2,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,75,12,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
82.900 USD,110.000 ARS,GUAYAQUIL,500,N/A,https://www.remax.com.ar/listings/caballito-venta-2-amb-42-m2-excelente-oportunidad,2,1,1,N/A,excelente.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,42,1,N/A,110.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
192.000 USD,N/A,BASAVILBASO,1300,N/A,https://www.remax.com.ar/listings/venta-depto-quartier-recoleta-full-amenities,1,1,1,N/A,N/A,N/A,frente,N/A,N/A,sí,N/A,N/A,N/A,43.89,49.03,5.14,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0
145.800 USD,N/A,OLLEROS,2600,N/A,https://www.remax.com.ar/listings/venta-colegiales-a-estrenar-amenities,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,40,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
150.000 USD,N/A,OLLEROS,2600,N/A,https://www.remax.com.ar/listings/departamento-monoambiente-a-estrenar-palermo,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,40,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
130.000 USD,242.000 ARS,Nicolás Vila,400,N/A,https://www.remax.com.ar/listings/venta-depto-4-amb-caballito-piso-alto-oportunidad,4,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.19,72.19,N/A,N/A,242.000,N/A,N/A,N/A,N/A,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
125.000 USD,N/A,OLLEROS,2600,N/A,https://www.remax.com.ar/listings/departamento-de-lujo-a-estrenar-palermo,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,44,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
378.000 USD,390.000 ARS,LARREA,1000,N/A,https://www.remax.com.ar/listings/semipiso-4-amb-c-dep-balcon-recoleta,4,3,3,1,N/A,N/A,frente,oeste,N/A,N/A,N/A,N/A,N/A,150,152,2,N/A,390.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
80.000 USD,N/A,SANTIAGO DEL ESTERO,1100,N/A,https://www.remax.com.ar/listings/venta-3-ambientes-con-balcon-y-espacio-guardacoche,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.38,59.14,8.76,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
