Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio,calle_norm,Altura_num,Comuna,Barrio,lat,lon,altura_ok,geo_score,geo_method,geo_ok,Distancia_subte_km,Distancia_parque_km,Tasa_delitos_comuna,Zona_riesgo,Tipologia,A_estrenar,Indice_amenities,Renta_largo_mensual_USD,Renta_m2_USD,banda_sup,Liquidez_oferta_comuna
1.300.000 ARS,20000.0,SENILLOSA,400.0,https://www.remax.com.ar/listings/alquiler-dto-3-ambientes-c-balcon-impecable,3.0,2.0,1,35.0,No informado,No informado,0,0,Departamento,63.0,68.0,5.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(52.274, 76.0]",ARS,1300000.0,877.6667566837699,1300000.0,1481.2,2026-05-13T14:00:00.000Z,0.2230769230769231,SENILLOSA,400.0,6.0,Caballito,-34.62021126277484,-58.429611928811525,True,100.0,exacto,True,0.7896222641566423,0.9738969772109749,0.6815238874122538,alto,3A,0,2,877.6667566837699,13.93121836005984,55-75,0.001470955723664781
950.000 ARS,20000.0,PACHECO,2600.0,https://www.remax.com.ar/listings/ph-3-amb-con-balcon-apto-mascotas-v-urquiza,3.0,2.0,1,35.0,Contrafrente,Este,0,0,Departamento,56.0,63.0,7.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(52.274, 76.0]",ARS,950000.0,641.3718606535241,950000.0,1481.2,2026-05-13T14:00:00.000Z,0.2421052631578947,PACHECO,2600.0,12.0,Villa Urquiza,-34.57176071465439,-58.4853006083287,True,100.0,exacto,True,0.6530825293155096,2.0353730321730517,0.4997101681025006,medio,3A,0,1,641.3718606535241,11.453068940241502,55-75,0.0016590377581003019
750.000 ARS,7633.0,AUTOPISTA DR. RICARDO BALBIN,3200.0,https://www.remax.com.ar/listings/alquiler-anual-monoambiente-coghlan,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,41.0,50.0,9.0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,remax,False,"(42.0, 52.274]",ARS,750000.0,506.346205779098,750000.0,1481.2,2026-05-13T14:00:00.000Z,0.38,AUTOPISTA DOCTOR RICARDO BALBIN,3200.0,4.0,La Boca,-34.637124134272945,-58.35342520471138,True,100.0,recovery,True,2.825001610289755,2.2747934481710925,0.6643909367912209,medio,monoamb,0,4,506.346205779098,12.349907458026781,35-55,0.0003390684780865541
750.000 ARS,25000.0,DEL CARMEN,700.0,https://www.remax.com.ar/listings/alquiler-semipiso-2-ambientes-san-nicolas,2.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,40.0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",ARS,750000.0,506.346205779098,750000.0,1481.2,2026-05-13T14:00:00.000Z,0.1733333333333333,DEL CARMEN,700.0,1.0,San Nicolas,-34.60009833284862,-58.390068162283534,False,100.0,exacto_altura_fuera,True,0.022612912630797996,2.9640087983882757,1.3599759089981835,alto,2A,0,1,506.346205779098,12.65865514447745,35-55,0.0018408245339653984
1.500 USD,20000.0,SANTA FE AV.,5300.0,https://www.remax.com.ar/listings/depto-alquiler-2-amb-canitas-edificio-be-plaza,2.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,54.0,60.0,6.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,remax,False,"(52.274, 76.0]",USD,1500.0,1500.0,2221800.0,1481.2,2026-05-13T14:00:00.000Z,0.0936177873796021,SANTA FE AVENIDA,5300.0,14.0,Palermo,-34.575140455110784,-58.43486924610917,True,100.0,exacto,True,0.6067743496665345,0.7248969547155525,0.3173293561387364,bajo,2A,0,6,1500.0,27.77777777777778,35-55,0.0020354411558041806
1.200.000 ARS,20000.0,PLAZA,2500.0,https://www.remax.com.ar/listings/alquiler-espectacular-3-amb-en-villa-urquiza,3.0,2.0,1,35.0,No informado,No informado,0,0,Departamento,68.0,76.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,remax,False,"(52.274, 76.0]",ARS,1200000.0,810.1539292465568,1200000.0,1481.2,2026-05-13T14:00:00.000Z,0.1297083333333333,PLAZA,2500.0,12.0,Saavedra,-34.55504478062499,-58.48654352117118,True,100.0,exacto,True,2.213183634547087,3.197029165872549,0.4997101681025006,medio,3A,0,1,810.1539292465568,11.914028371272893,55-75,0.0016590377581003019
650.000 ARS,7633.0,ARAOZ,2700.0,https://www.remax.com.ar/listings/alquiler-2-amb-al-frte-c-balcon-luminoso-palermo,2.0,1.0,1,35.0,Frente,Noroeste,0,0,Departamento,42.1,45.55,3.45,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(42.0, 52.274]",ARS,650000.0,438.83337834188495,650000.0,1481.2,2026-05-13T14:00:00.000Z,0.4022076923076923,ARAOZ,2700.0,14.0,Palermo,-34.58489579937037,-58.4137393736251,True,100.0,exacto,True,0.8223120182047071,1.1000308247084083,0.3173293561387364,bajo,2A,0,1,438.83337834188495,10.423595685080402,35-55,0.0020354411558041806
900.000 ARS,20000.0,MONTEVIDEO,700.0,https://www.remax.com.ar/listings/alquiler-3-ambientes-con-balcon-en-tribunales,3.0,2.0,1,35.0,Frente,No informado,0,0,Departamento,48.0,53.0,5.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,remax,False,"(52.274, 76.0]",ARS,900000.0,607.6154469349176,900000.0,1481.2,2026-05-13T14:00:00.000Z,0.2777777777777778,MONTEVIDEO,700.0,1.0,San Nicolas,-34.601255757663296,-58.38956334756501,True,100.0,exacto,True,0.11707730866312088,2.8751092886978844,1.3599759089981835,alto,3A,0,1,607.6154469349176,12.65865514447745,35-55,0.0018408245339653984
1.200.000 ARS,100000.0,VEDIA,1600.0,https://www.remax.com.ar/listings/alquiler-de-duplex-de-categoria-5-amb-nunez-c-c,5.0,4.0,1,35.0,No informado,No informado,0,0,Departamento,109.16,109.16,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(76.0, 900.0]",ARS,1200000.0,810.1539292465568,1200000.0,1481.2,2026-05-13T14:00:00.000Z,0.5833333333333334,VEDIA,1600.0,13.0,Nuñez,-34.5359484579012,-58.46700867435446,False,100.0,exacto_altura_fuera,True,3.5770438335720782,4.573030881726588,0.32421076293276735,bajo,4+A,0,1,810.1539292465568,7.421710601379231,>100,0.0018112574622510603
600.000 ARS,25000.0,CABELLO,3200.0,https://www.remax.com.ar/listings/alquiler-monoambiente-luminoso-en-palermo-chico,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,37.74,40.52,2.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",ARS,600000.0,405.0769646232784,600000.0,1481.2,2026-05-13T14:00:00.000Z,0.5066666666666667,CABELLO,3200.0,14.0,Palermo,-34.58217584303908,-58.40611295835142,True,100.0,exacto,True,1.582946137172121,1.2797875463921635,0.3173293561387364,bajo,monoamb,0,4,405.0769646232784,10.733358893038643,35-55,0.0020354411558041806
