Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio
500.000 ARS,65000.0,SANTA FE AV.,3500.0,https://www.remax.com.ar/listings/alquiler-1-ambiente-en-palermo-apto-profesional,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,22.3,23.93,1.63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,500000.0,337.56413718606535,500000.0,1481.2,2026-05-13T14:00:00.000Z,0.23
850.000 ARS,20000.0,SUIPACHA,1300.0,https://www.remax.com.ar/listings/dpto-2-ambientes-con-patio-totalmente-reciclado,2.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,51.02,62.4,11.379999999999995,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(52.274, 76.0]",ARS,850000.0,573.8590332163111,850000.0,1481.2,2026-05-13T14:00:00.000Z,0.3176470588235294
490.000 ARS,25000.0,AZCUENAGA,500.0,https://www.remax.com.ar/listings/alquiler-monoambiente-divisible-ideal-estudiantes,1.0,0.0,1,35.0,Frente,Oeste,0,0,Departamento,38.5,38.5,0.0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",ARS,490000.0,330.812854442344,490000.0,1481.2,2026-05-13T14:00:00.000Z,0.2857142857142857
1.290.000 ARS,100000.0,Julián Álvarez,2400.0,https://www.remax.com.ar/listings/alquiler-departamento-4-ambientes-frente-palermo,4.0,3.0,1,35.0,No informado,No informado,0,0,Departamento,74.2,83.0,8.8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,remax,False,"(76.0, 900.0]",ARS,1290000.0,870.9154739400486,1290000.0,1481.2,2026-05-13T14:00:00.000Z,0.2682170542635659
1.100 USD,20000.0,EL SALVADOR,4600.0,https://www.remax.com.ar/listings/departamento-alquiler-2-ambientes-terraza-palermo,2.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,61.9,61.9,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(52.274, 76.0]",USD,1100.0,1100.0,1629320.0,1481.2,2026-05-13T14:00:00.000Z,0.1276606191540029
390.000 ARS,65000.0,AGUERO,1600.0,https://www.remax.com.ar/listings/alquiler-oficina-monoambiente-en-recoleta,1.0,0.0,1,35.0,Interno,No informado,0,0,Departamento,14.0,14.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,390000.0,263.30002700513097,390000.0,1481.2,2026-05-13T14:00:00.000Z,0.2230769230769231
440.000 ARS,65000.0,LAVALLE,1400.0,https://www.remax.com.ar/listings/alquiler-oficina-3-ambientes-tribunales,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,33.0,33.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,440000.0,297.0564407237375,440000.0,1481.2,2026-05-13T14:00:00.000Z,0.5227272727272727
1.800.000 ARS,100000.0,Crisólogo Larralde,3800.0,https://www.remax.com.ar/listings/alquiler-loft-p-oficina-o-vivienda-c-terraza,1.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,60.0,90.0,30.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,remax,False,"(76.0, 900.0]",ARS,1800000.0,1215.2308938698352,1800000.0,1481.2,2026-05-13T14:00:00.000Z,0.08333333333333333
1.500.000 ARS,100000.0,CORDOBA,5800.0,https://www.remax.com.ar/listings/alquiler-oficina-palermo-con-cochera,3.0,2.0,1,35.0,No informado,No informado,0,0,Departamento,91.53,91.53,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(76.0, 900.0]",ARS,1500000.0,1012.692411558196,1500000.0,1481.2,2026-05-13T14:00:00.000Z,0.2
900.000 ARS,20000.0,BERUTI,3600.0,https://www.remax.com.ar/listings/departamento-2-ambientes-alquiler-palermo-botanico,2.0,1.0,1,35.0,No informado,No informado,0,0,Departamento,45.0,65.0,20.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,remax,False,"(52.274, 76.0]",ARS,900000.0,607.6154469349176,900000.0,1481.2,2026-05-13T14:00:00.000Z,0.2777777777777778
