Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio
USD 210.000,310000.0,Juan María Gutiérrez,2500.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--18705426,4.0,3.0,1,40.0,Frente,Oeste,0,Sí,Semipiso,85.0,85.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,argenprop,False,"(72.0, 103.0]",USD,210000.0,210000.0,311052000.0,1481.2,2026-05-13T14:00:00.000Z,0.00099661792883505
USD 250.000,250000.0,José Andrés Pacheco De Melo,2600.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--19099271,4.0,3.0,2,40.0,Frente,Oeste,0,0,Piso,100.0,100.0,0.0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,argenprop,False,"(72.0, 103.0]",USD,250000.0,250000.0,370300000.0,1481.2,2026-05-13T14:00:00.000Z,0.0006751282743721307
USD 83.000,290000.0,Larrea,1000.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--17587220,1.0,0.0,1,40.0,Frente,Este,0,Sí,Departamento,40.0,40.0,0.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(39.0, 53.0]",USD,83000.0,83000.0,122939600.0,1481.2,2026-05-13T14:00:00.000Z,0.002358881922505035
USD 210.000,373000.0,ARENALES,3100.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-4-ambientes--18270400,4.0,3.0,1,40.0,Frente,Sudoeste,1,Sí,Semipiso,93.0,93.0,11.0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1.0,0,1,0,0,1,1,argenprop,False,"(72.0, 103.0]",USD,210000.0,210000.0,311052000.0,1481.2,2026-05-13T14:00:00.000Z,0.0011991564111466892
USD 198.000,256000.0,Laprida al,1700.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--18380345,3.0,2.0,1,55.0,Frente,Norte,0,Sí,Departamento,58.0,83.0,25.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,1,argenprop,False,"(72.0, 103.0]",USD,198000.0,198000.0,293277600.0,1481.2,2026-05-13T14:00:00.000Z,0.0008728931224205326
USD 160.000,95000.0,Juncal al,2700.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--17961194,3.0,2.0,1,50.0,Contrafrente,Este,1,Sí,Departamento,56.0,95.0,39.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(72.0, 103.0]",USD,160000.0,160000.0,236992000.0,1481.2,2026-05-13T14:00:00.000Z,0.0004008574129084526
USD 72.000,178000.0,JUNCAL al,800.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--19196221,1.0,0.0,1,60.0,Frente,No informado,0,0,Piso,30.0,30.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,True,"(-0.001, 39.0]",USD,72000.0,72000.0,106646400.0,1481.2,2026-05-13T14:00:00.000Z,0.0016690671227533231
USD 288.000,200000.0,Bulnes,1300.0,https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-3-ambientes--17289735,3.0,2.0,1,40.0,Frente,Norte,0,Sí,Semipiso,72.0,79.0,7.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1.0,0,0,1,1,1,1,argenprop,False,"(72.0, 103.0]",USD,288000.0,288000.0,426585600.0,1481.2,2026-05-13T14:00:00.000Z,0.0004688390794250908
USD 189.000,170000.0,Fray Justo Santa María De Oro,2200.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19367846,3.0,2.0,2,14.0,Frente,No informado,0,Sí,Departamento,60.0,68.0,8.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0,0,1,0,1,0,argenprop,False,"(53.0, 72.0]",USD,189000.0,189000.0,279946800.0,1481.2,2026-05-13T14:00:00.000Z,0.0006072582362077366
USD 385.000,500000.0,Amenabar al,2200.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-4-ambientes--17301379,4.0,3.0,1,33.0,Frente,Noreste,0,Sí,Piso,136.0,136.0,0.0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,argenprop,False,"(103.0, 992.0]",USD,385000.0,385000.0,570262000.0,1481.2,2026-05-13T14:00:00.000Z,0.0008767899667170529
