Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,Precio_m2,Barrio
279000,0,Charlone Al,1600,PB,https://departamento.mercadolibre.com.ar/MLA-1699568019-depto-4-ambientes-en-villa-ortuzar-patio-arbolado-con-parrilla-cochera-cerca-del-subte-b-_JM#polycard_client=search-desktop&search_layout=grid&position=43&type=item&float_highlight=not_apply&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,4,3,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,279000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Villa Ortúzar
162000,0,Humboldt,1500,PB,https://departamento.mercadolibre.com.ar/MLA-1671478583-duplex-en-venta-doble-balcon-pileta-_JM#polycard_client=search-desktop&search_layout=grid&position=44&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,0,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,162000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo
89000,0,Avenida Juan De Garay Al,4200,PB,https://departamento.mercadolibre.com.ar/MLA-1599103289-venta-departamento-3-ambientes-pb-de-43m-12m-patio-en-boedo-bajas-expensas-cocina-y-bano-nuevos-_JM#polycard_client=search-desktop&search_layout=grid&position=45&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,89000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Boedo
1945,0,Billinghurst,1688,PB,https://departamento.mercadolibre.com.ar/MLA-2758855632-departamento-recoleta-4-ambientes-dependencia-a-refaccionar-_JM#polycard_client=search-desktop&search_layout=grid&position=46&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,4,3,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Recoleta
63000,0,MEXICO Al 1480. Entre San Jose Y Pte Luis Saenz PeÑa,S/N,PB,https://departamento.mercadolibre.com.ar/MLA-2235443378-82-m-4-dormitorios-y-beneficios-unicos-en-edificio-historico-sin-abl-expensas-razonables-y-a-pasos-de-universidades-subte-y-9-de-julio-_JM#polycard_client=search-desktop&search_layout=grid&position=47&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,4,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Monserrat
310000,0,Pumacahua Al,300,PB,https://departamento.mercadolibre.com.ar/MLA-1535074619-venta-departamento-de-3-ambientes-con-terraza-propia-en-piso-alto-con-amenities-_JM#polycard_client=search-desktop&search_layout=grid&position=48&type=item&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Flores
250000,0,Valle,600,PB,https://departamento.mercadolibre.com.ar/MLA-2819106324-venta-semipiso-3-ambientes-con-cochera-en-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Caballito
145000,0,Paraguay,2600,PB,https://departamento.mercadolibre.com.ar/MLA-1581368469-venta-depto-3-amb-y-dependencia-recoleta-gran-oportunidad-vista-luz-y-balcon-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Recoleta
69000,0,Ricardo Gutierrez Al,3200,PB,https://departamento.mercadolibre.com.ar/MLA-1691632481-bajo-de-precio-venta-departamento-2-ambientes-con-patio-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,2,1,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Villa Del Parque
110000,0,Rosario Al,700,PB,https://departamento.mercadolibre.com.ar/MLA-2624993576-venta-departamento-3-ambientes-al-frente-balcon-reciclado-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Caballito
258000,0,Cabello,3600,PB,https://departamento.mercadolibre.com.ar/MLA-2900825862-venta-departamento-3-ambientes-patio-palermo-chico-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,258000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo Chico
350000,0,Moldes Al,2300,PB,https://departamento.mercadolibre.com.ar/MLA-1517713465-departamento-en-venta-en-belgrano-5-amb-con-balcon-terraza-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,5,4,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Belgrano
150000,0,Arenales Al,2500,PB,https://departamento.mercadolibre.com.ar/MLA-1553131427-departamento-3-ambientes-semipiso-vista-luminoso-al-frente-en-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=7&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Recoleta
112000,0,Godoy Cruz Al,1300,PB,https://departamento.mercadolibre.com.ar/MLA-1514518191-departamento-en-venta-en-palermo-2-ambientes-con-balcon-_JM#polycard_client=search-desktop&search_layout=grid&position=8&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,2,1,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo
260000,0,Caracas Al,4600,PB,https://departamento.mercadolibre.com.ar/MLA-1669152937-venta-departamento-4-ambientes-en-duplex-con-cochera-y-quincho-_JM#polycard_client=search-desktop&search_layout=grid&position=9&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,4,3,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Villa Pueyrredón
49000,0,Pergamino,80,PB,https://departamento.mercadolibre.com.ar/MLA-1527263305-venta-departamento-2-ambientes-apto-credito-floresta-_JM#polycard_client=search-desktop&search_layout=grid&position=10&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,2,1,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Floresta
70000,0,Av. Rivadavia Al,5500,PB,https://departamento.mercadolibre.com.ar/MLA-2206075684-departamento-en-venta-de-2-ambientes-con-cochera-en-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=11&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,2,1,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Caballito
50500,0,Av. Paseo Colon,1100,PB,https://departamento.mercadolibre.com.ar/MLA-2686403946-depto-2-ambientes-cpatio-ubicacion-ideal-iversion-_JM#polycard_client=search-desktop&search_layout=grid&position=12&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,2,1,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,50500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,San Telmo
50000,0,Avenida Independencia Al,2000,PB,https://departamento.mercadolibre.com.ar/MLA-2397754452-venta-departamento-2-ambientes-30m-en-balvanera-san-cristobal-lateral-pisos-parquet-apto-credito-_JM#polycard_client=search-desktop&search_layout=grid&position=13&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,2,1,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,San Cristóbal
46000,0,Pola Al 400 C/financiacion,S/N,PB,https://departamento.mercadolibre.com.ar/MLA-1602137417-departamento-en-venta-1-ambiente-_JM#polycard_client=search-desktop&search_layout=grid&position=14&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,1,0,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Villa Luro
140000,0,Depto Venta 3 Amb Con Baulera Villa Urquiza,S/N,PB,https://departamento.mercadolibre.com.ar/MLA-1609505467-depto-venta-3-amb-con-baulera-villa-urquiza-_JM#polycard_client=search-desktop&search_layout=grid&position=15&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Villa Urquiza
65000,0,Saraza,4200,PB,https://departamento.mercadolibre.com.ar/MLA-2753466292-venta-tres-ambientes-vista-abierta-oportunidad-_JM#polycard_client=search-desktop&search_layout=grid&position=16&type=item&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,1,0,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Villa Lugano
112000,0,Cerrito Al,100,PB,https://departamento.mercadolibre.com.ar/MLA-2313823884-departamento-de-3-ambientes-mas-dependencia-san-nicolas-_JM#polycard_client=search-desktop&search_layout=grid&position=17&type=item&float_highlight=not_apply&tracking_id=ff9cbda9-7134-4806-809e-02d1ca465fd9&price_drop=not_apply,3,2,1,0,Bueno,0,0,0,0,0,0,0,0,0,0,0,112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,San Nicolás
