Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Desc_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antig_Edif,Estado_Edif,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_mov_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,Precio_m2,Barrio
95000,104000,11 De Septiembre De 1888,2700,2.0,https://departamento.mercadolibre.com.ar/MLA-3165608454-venta-monoambiente-balcon-belgrano-apto-credito-_JM#polycard_client=search-desktop&search_layout=grid&position=7&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,1,1,0,Bueno,12,Contrafrente,Norte,0,0,0,0,0,32.0,35.0,0,95000,104000,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2714.29,Belgrano
86000,0,Miller Al,3200,PB,https://departamento.mercadolibre.com.ar/MLA-3168743618-venta-departamento-monoambiente-con-balcon-en-villa-urquiza-_JM#polycard_client=search-desktop&search_layout=grid&position=8&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,86000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Villa Urquiza
320000,0,Charcas,5100,PB,https://departamento.mercadolibre.com.ar/MLA-1737828415-departamento-en-venta-en-palermo-capital-federal-buenos-aires-_JM#polycard_client=search-desktop&search_layout=grid&position=9&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo
90000,135000,Avenida Independencia,700,3.0,https://departamento.mercadolibre.com.ar/MLA-1739684217-2-ambientes-con-balcon-zona-uade-san-telmo-_JM#polycard_client=search-desktop&search_layout=grid&position=10&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,2,1,1,0,A refaccionar,13,Frente,Norte,0,0,0,0,0,41.0,46.0,0,90000,135000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1956.52,San Telmo
90000,0,Viamonte Al,700,PB,https://departamento.mercadolibre.com.ar/MLA-3168246810-venta-departamento-3-ambientes-en-san-nicolas-_JM#polycard_client=search-desktop&search_layout=grid&position=11&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Retiro
163000,0,Cabello Al,3200,PB,https://departamento.mercadolibre.com.ar/MLA-3173927386-departamento-en-venta-en-palermo-apto-credito-_JM#polycard_client=search-desktop&search_layout=grid&position=12&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,163000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo
245000,0,Departamento Venta 3 Ambientes 93 M2 Barrio Norte,S/N,PB,https://departamento.mercadolibre.com.ar/MLA-1742470663-departamento-venta-3-ambientes-93-m2-barrio-norte-capital-federal-_JM#polycard_client=search-desktop&search_layout=grid&position=13&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,245000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Barrio Norte
190000,350000,Departamento Venta Monoambiente 46 M2 Torre IQ Callao,S/N,PB,https://departamento.mercadolibre.com.ar/MLA-3173839112-departamento-venta-monoambiente-46-m2-torre-iq-callao-recoleta-capital-federal-_JM#polycard_client=search-desktop&search_layout=grid&position=14&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,1,1,0,Bueno,12,Frente,Nan,0,0,0,0,0,43.0,46.0,0,190000,350000,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4130.43,Recoleta
109000,0,Gurruchaga Al,2200,PB,https://departamento.mercadolibre.com.ar/MLA-1738053249-venta-monoambiente-en-palermo-_JM#polycard_client=search-desktop&search_layout=grid&position=15&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo
110000,184000,Ohiggins,1500,4.0,https://departamento.mercadolibre.com.ar/MLA-1735717049-monoambiente-a-estrenar-en-belgrano-con-amenities-_JM#polycard_client=search-desktop&search_layout=grid&position=16&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,0,1,0,Bueno,1,Frente,Norte,0,0,0,0,0,28.0,33.0,0,110000,184000,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3333.33,Belgrano
73000,0,Billinghurst Al 1400 - Piso,5,PB,https://departamento.mercadolibre.com.ar/MLA-1737642603-monoambiente-venta-balcon-frente-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=17&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Recoleta
243000,329870,Echeverría,2700,6.0,https://departamento.mercadolibre.com.ar/MLA-3152875488-dpto-de-5-amb-cbalcon-y-baulera-venta-belgrano-_JM#polycard_client=search-desktop&search_layout=grid&position=18&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,5,3,1,0,Bueno,43,Frente,Norte,0,0,0,0,0,104.0,118.0,0,243000,329870,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2059.32,Belgrano
115000,193500,Julián Álvarez Al,1600,8.0,https://departamento.mercadolibre.com.ar/MLA-3159275788-monoambiente-en-venta-en-palermo-viejo-_JM#polycard_client=search-desktop&search_layout=grid&position=19&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,0,1,0,Bueno,8,Contrafrente,Norte,0,0,0,0,0,37.0,37.0,0,115000,193500,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3108.11,Palermo Viejo
97000,0,Av. Cordoba Al,3500,PB,https://departamento.mercadolibre.com.ar/MLA-3177350600-venta-monomabiente-amplio-con-balcon-en-palermo-_JM#polycard_client=search-desktop&search_layout=grid&position=20&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,97000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Palermo
154500,0,Avenida Monroe,2600,PB,https://departamento.mercadolibre.com.ar/MLA-3164325020-monroe-2671-piso-2-departamento-b-_JM#polycard_client=search-desktop&search_layout=grid&position=21&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,154500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Belgrano C
155000,260000,Avenida Luis María Campos,0,11.0,https://departamento.mercadolibre.com.ar/MLA-3175116008-departamento-2-ambientes-canitas-piso-11-al-frente-_JM#polycard_client=search-desktop&search_layout=grid&position=22&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,2,1,1,0,Bueno,31,Frente,Este,0,0,0,0,0,49.0,52.0,0,155000,260000,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2980.77,Las Cañitas
269000,0,Charlone,1400,PB,https://departamento.mercadolibre.com.ar/MLA-3147996578-venta-departamento-3-ambientes-estrenar-amenities-_JM#polycard_client=search-desktop&search_layout=grid&position=23&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,269000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Villa Ortúzar
69000,110000,Ciudad De La Paz,2300,2.0,https://departamento.mercadolibre.com.ar/MLA-3165634494-venta-monoambiente-belgrano-apto-credito-_JM#polycard_client=search-desktop&search_layout=grid&position=24&type=item&float_highlight=recent_publication&tracking_id=1dac2510-416d-4409-8829-16f13af5de9c&price_drop=not_apply,1,1,1,0,Bueno,14,Frente,Norte,0,0,0,0,0,24.0,24.0,0,69000,110000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2875.0,Belgrano
